_date,referee,home,away,fouls_home,fouls_away,corners_home,corners_away,tackles_home,tackles_away,offsides_home,offsides_away,goal_kicks_home,goal_kicks_away,trow_ins_home,trow_ins_away,sot_home,sot_away,shots_home,shots_away,league_season
2023-08-18,Felix Zwayer,Werder Bremen,Bayern Munich,17,11,0,6,29,3,3,0,13,5,10,21,1,10,6,25,BS 23/24
2023-08-19,Felix Brych,Leverkusen,RB Leipzig,13,10,4,5,15,16,2,0,6,6,12,23,7,6,11,14,BS 23/24
2023-08-19,Florian Badstübner,Wolfsburg,Heidenheim,10,9,1,7,17,20,2,0,7,8,18,25,8,1,18,14,BS 23/24
2023-08-19,Daniel Siebert,Stuttgart,Bochum,5,12,7,0,7,24,2,2,5,8,19,20,9,1,21,4,BS 23/24
2023-08-19,Daniel Schlager,Augsburg,M'Gladbach,9,13,8,7,13,10,4,1,6,9,16,12,6,4,19,9,BS 23/24
2023-08-19,Sven Jablonski,Hoffenheim,Freiburg,9,9,4,2,11,17,3,0,10,7,16,15,4,7,22,18,BS 23/24
2023-08-19,Deniz Aytekin,Dortmund,Köln,13,11,6,3,11,20,1,2,7,7,20,24,2,4,13,11,BS 23/24
2023-08-20,Tobias Stieler,Union Berlin,Mainz 05,15,16,3,1,7,13,1,0,7,2,23,20,6,1,11,8,BS 23/24
2023-08-20,Harm Osmers,Eint Frankfurt,Darmstadt 98,9,14,7,3,13,26,0,2,7,10,28,14,3,2,9,10,BS 23/24
2023-08-25,Frank Willenborg,RB Leipzig,Stuttgart,11,10,4,4,11,20,4,1,6,5,21,7,11,3,20,9,BS 23/24
2023-08-26,Robert Schröder,Bochum,Dortmund,21,7,5,4,20,15,6,0,12,7,25,28,7,3,20,14,BS 23/24
2023-08-26,Patrick Ittrich,Darmstadt 98,Union Berlin,15,12,3,5,6,15,0,0,5,14,20,20,6,6,21,13,BS 23/24
2023-08-26,Benjamin Brand,Freiburg,Werder Bremen,9,8,5,5,8,11,3,2,13,8,20,18,7,1,23,15,BS 23/24
2023-08-26,Matthias Jöllenbeck,Köln,Wolfsburg,6,10,6,1,14,16,6,0,4,17,33,29,2,6,13,9,BS 23/24
2023-08-26,Robert Hartmann,Heidenheim,Hoffenheim,13,9,10,6,14,11,0,1,10,10,30,27,7,5,19,15,BS 23/24
2023-08-26,Christian Dingert,M'Gladbach,Leverkusen,7,8,5,8,20,16,1,2,7,10,12,18,2,11,12,24,BS 23/24
2023-08-27,Bastian Dankert,Mainz 05,Eint Frankfurt,23,12,5,4,23,12,2,0,4,9,11,25,6,1,12,7,BS 23/24
2023-08-27,Daniel Siebert,Bayern Munich,Augsburg,14,8,10,4,13,18,1,2,7,13,22,14,4,2,18,10,BS 23/24
2023-09-01,Tobias Reichel,Dortmund,Heidenheim,9,22,3,6,12,13,2,3,8,10,19,22,7,5,18,13,BS 23/24
2023-09-02,Robert Schröder,Werder Bremen,Mainz 05,18,14,1,7,19,14,1,4,9,6,22,29,5,3,12,13,BS 23/24
2023-09-02,Felix Zwayer,Hoffenheim,Wolfsburg,12,15,3,3,12,9,4,0,8,5,20,21,5,7,10,13,BS 23/24
2023-09-02,Sven Jablonski,Leverkusen,Darmstadt 98,8,11,4,2,7,22,1,1,1,6,18,11,13,1,25,5,BS 23/24
2023-09-02,Martin Petersen,Augsburg,Bochum,15,13,3,5,11,15,1,3,7,5,25,22,4,8,11,21,BS 23/24
2023-09-02,Felix Brych,Stuttgart,Freiburg,9,10,2,4,11,18,1,1,3,8,15,19,6,7,13,13,BS 23/24
2023-09-02,Deniz Aytekin,M'Gladbach,Bayern Munich,5,20,1,15,25,15,0,1,11,4,12,26,3,7,7,25,BS 23/24
2023-09-03,Florian Badstübner,Eint Frankfurt,Köln,10,10,8,1,14,18,2,0,7,8,28,17,2,1,13,6,BS 23/24
2023-09-03,Daniel Schlager,Union Berlin,RB Leipzig,16,9,3,7,17,26,1,2,11,6,22,21,1,7,3,14,BS 23/24
2023-09-15,Daniel Schlager,Bayern Munich,Leverkusen,6,6,7,4,23,23,1,3,4,7,12,18,9,4,16,12,BS 23/24
2023-09-16,Felix Brych,Wolfsburg,Union Berlin,7,7,3,7,16,14,3,1,15,7,25,22,3,6,8,19,BS 23/24
2023-09-16,Harm Osmers,Mainz 05,Stuttgart,12,9,6,4,11,10,1,1,11,8,30,24,3,6,15,15,BS 23/24
2023-09-16,Tobias Stieler,Freiburg,Dortmund,12,16,6,8,14,10,3,2,7,11,17,11,4,7,15,15,BS 23/24
2023-09-16,Daniel Siebert,Köln,Hoffenheim,15,14,13,4,19,12,3,1,4,13,27,24,6,5,18,13,BS 23/24
2023-09-16,Sascha Stegemann,RB Leipzig,Augsburg,16,12,1,6,12,10,2,1,10,4,14,20,6,5,9,16,BS 23/24
2023-09-16,Benjamin Brand,Bochum,Eint Frankfurt,14,14,8,2,26,14,0,1,5,13,24,24,6,6,21,8,BS 23/24
2023-09-17,Patrick Ittrich,Heidenheim,Werder Bremen,20,8,10,1,11,23,1,2,10,14,15,22,4,3,17,10,BS 23/24
2023-09-17,Timo Gerach,Darmstadt 98,M'Gladbach,12,8,6,6,23,11,4,1,15,6,16,17,8,9,15,21,BS 23/24
2023-09-22,Matthias Jöllenbeck,Stuttgart,Darmstadt 98,7,12,5,4,21,15,1,2,3,8,22,11,11,0,18,4,BS 23/24
2023-09-23,Robert Hartmann,Bayern Munich,Bochum,8,10,8,1,10,25,2,2,9,6,20,7,14,1,25,4,BS 23/24
2023-09-23,Deniz Aytekin,Union Berlin,Hoffenheim,11,13,11,6,19,12,0,1,5,14,38,19,5,2,22,10,BS 23/24
2023-09-23,Marco Fritz,Augsburg,Mainz 05,16,15,3,4,22,15,1,2,6,2,14,28,3,2,5,12,BS 23/24
2023-09-23,Sven Jablonski,Dortmund,Wolfsburg,9,14,5,3,22,12,2,2,8,14,18,24,4,1,18,7,BS 23/24
2023-09-23,Robert Schröder,M'Gladbach,RB Leipzig,14,7,11,6,12,22,2,2,4,10,18,19,1,4,14,8,BS 23/24
2023-09-23,Bastian Dankert,Werder Bremen,Köln,18,15,9,8,21,27,1,2,10,6,18,25,6,4,17,14,BS 23/24
2023-09-24,Christian Dingert,Leverkusen,Heidenheim,9,10,7,2,14,16,2,0,2,8,21,22,9,2,20,2,BS 23/24
2023-09-24,Felix Zwayer,Eint Frankfurt,Freiburg,12,5,7,3,18,30,0,4,6,11,26,22,4,1,12,7,BS 23/24
2023-09-29,Florian Badstübner,Hoffenheim,Dortmund,14,16,4,3,14,23,0,2,5,10,27,15,2,5,14,6,BS 23/24
2023-09-30,Tobias Stieler,Köln,Stuttgart,16,8,8,4,21,20,2,1,10,10,25,25,5,4,14,18,BS 23/24
2023-09-30,Sascha Stegemann,Heidenheim,Union Berlin,11,14,5,7,18,13,1,1,14,5,29,12,4,8,10,20,BS 23/24
2023-09-30,Frank Willenborg,Wolfsburg,Eint Frankfurt,11,18,7,4,15,15,4,3,4,9,23,17,7,4,17,8,BS 23/24
2023-09-30,Felix Brych,Bochum,M'Gladbach,12,12,5,10,12,10,2,3,11,19,22,15,4,8,24,27,BS 23/24
2023-09-30,Benjamin Brand,Mainz 05,Leverkusen,13,11,3,1,12,15,3,1,6,7,19,17,3,3,10,6,BS 23/24
2023-09-30,Marco Fritz,RB Leipzig,Bayern Munich,10,11,5,1,28,22,1,1,6,5,18,25,2,4,6,10,BS 23/24
2023-10-01,Martin Petersen,Darmstadt 98,Werder Bremen,19,19,2,4,20,10,2,6,2,7,20,28,4,6,13,11,BS 23/24
2023-10-01,Harm Osmers,Freiburg,Augsburg,13,17,2,3,24,11,0,2,9,3,22,24,2,3,6,13,BS 23/24
2023-10-06,Sven Jablonski,M'Gladbach,Mainz 05,9,9,10,3,19,14,1,1,2,3,25,22,9,7,21,14,BS 23/24
2023-10-07,Timo Gerach,RB Leipzig,Bochum,10,13,9,1,12,26,1,3,6,10,19,19,3,2,15,9,BS 23/24
2023-10-07,Patrick Ittrich,Dortmund,Union Berlin,7,15,4,6,14,23,1,5,8,7,18,20,7,4,14,12,BS 23/24
2023-10-07,Deniz Aytekin,Augsburg,Darmstadt 98,13,12,4,4,9,11,6,1,5,11,22,12,3,4,18,16,BS 23/24
