_date,referee,home,away,fouls_home,fouls_away,corners_home,corners_away,tackles_home,tackles_away,offsides_home,offsides_away,goal_kicks_home,goal_kicks_away,throw_ins_home,throw_ins_away,shots_home,shots_away,sot_home,sot_away,league_season
2023-08-11,Benoît Bastien,Nice,Lille,13,9,3,3,16,26,5,1,4,6,14,19,8,12,3,5,L1 23/24
2023-08-12,Eric Wattellier,Marseille,Reims,7,16,10,10,15,16,3,4,8,8,17,26,14,11,4,4,L1 23/24
2023-08-12,Bastien Dechepy,Paris S-G,Lorient,8,6,9,2,10,13,0,0,3,13,16,6,20,4,4,0,L1 23/24
2023-08-13,Jérémie Pignard,Brest,Lens,13,15,6,8,19,22,0,4,7,7,21,21,13,8,6,2,L1 23/24
2023-08-13,Willy Delajod,Nantes,Toulouse,14,14,7,5,10,12,2,2,5,5,17,26,8,9,3,5,L1 23/24
2023-08-13,François Letexier,Clermont Foot,Monaco,7,16,6,2,16,24,3,1,4,8,16,9,15,14,7,8,L1 23/24
2023-08-13,Clément Turpin,Montpellier,Le Havre,8,12,4,2,17,12,5,0,13,10,19,21,14,12,5,4,L1 23/24
2023-08-13,Jeremy Stinat,Rennes,Metz,7,10,5,4,18,17,1,4,3,8,16,16,29,9,14,3,L1 23/24
2023-08-13,Jérôme Brisard,Strasbourg,Lyon,8,11,1,6,24,16,3,2,14,8,16,27,8,23,2,7,L1 23/24
2023-08-18,Jérôme Brisard,Metz,Marseille,15,9,4,9,14,11,0,2,17,8,22,18,10,22,5,5,L1 23/24
2023-08-19,Mathieu Vernice,Lyon,Montpellier,20,9,6,2,20,18,2,4,5,8,12,13,7,14,3,8,L1 23/24
2023-08-19,Thomas Léonard,Toulouse,Paris S-G,8,11,5,5,14,14,1,3,7,6,13,15,7,15,1,2,L1 23/24
2023-08-20,Pierre Gaillouste,Lille,Nantes,8,15,7,5,11,15,0,5,4,13,16,13,18,14,7,4,L1 23/24
2023-08-20,Romain Lissorgue,Reims,Clermont Foot,9,6,3,10,16,26,5,2,10,6,16,18,8,11,4,4,L1 23/24
2023-08-20,Florent Batta,Le Havre,Brest,18,15,5,3,15,23,4,2,5,11,21,23,18,10,7,5,L1 23/24
2023-08-20,Hakim Ben El Hadj Salem,Lorient,Nice,8,10,0,9,21,15,3,1,8,3,12,8,9,21,2,8,L1 23/24
2023-08-20,Ruddy Buquet,Monaco,Strasbourg,19,16,4,3,22,12,3,2,3,7,18,14,9,4,4,1,L1 23/24
2023-08-20,Benoît Millot,Lens,Rennes,15,10,11,0,15,14,1,1,4,9,19,20,15,9,4,4,L1 23/24
