_date,referee,home,away,fouls_home,fouls_away,corners_home,corners_away,tackles_home,tackles_away,offsides_home,offsides_away,goal_kicks_home,goal_kicks_away,trow_ins_home,trow_ins_away,sot_home,sot_away,shots_home,shots_away,league_season
2023-08-11,Alberola Rojas,Almería,Rayo Vallecano,16,25,8,3,17,19,1,1,2,9,19,14,5,2,19,8,LA 23/24
2023-08-11,José Sánchez,Sevilla,Valencia,15,17,8,1,23,24,3,0,7,8,36,28,3,3,9,10,LA 23/24
2023-08-12,Francisco Hernández,Real Sociedad,Girona,22,9,4,1,17,15,0,3,4,16,22,23,2,1,15,6,LA 23/24
2023-08-12,Víctor García,Las Palmas,Mallorca,11,22,3,6,14,25,1,6,8,1,24,22,1,2,4,10,LA 23/24
2023-08-12,Jesús Gil,Athletic Club,Real Madrid,18,6,7,5,16,25,2,2,7,12,23,15,1,8,7,14,LA 23/24
2023-08-13,Pablo González,Celta Vigo,Osasuna,11,15,7,2,8,18,6,1,10,13,30,19,0,5,11,11,LA 23/24
2023-08-13,Miguel Ángel Ortiz Arias,Villarreal,Betis,13,17,9,4,23,25,2,1,4,6,21,14,5,5,18,12,LA 23/24
2023-08-13,César Soto,Getafe,Barcelona,20,11,3,4,11,9,4,2,14,8,14,17,2,3,5,14,LA 23/24
2023-08-14,Isidro Díaz de Mera,Cádiz,Alavés,19,15,2,4,13,9,2,2,6,7,22,22,3,2,12,10,LA 23/24
2023-08-14,Juan Pulido,Atlético Madrid,Granada,15,9,3,3,15,20,3,0,3,12,27,18,6,4,14,7,LA 23/24
2023-08-18,Alberola Rojas,Mallorca,Villarreal,12,11,6,5,27,15,6,1,8,5,11,18,1,3,8,15,LA 23/24
2023-08-18,Javier Villanueva,Valencia,Las Palmas,12,6,6,4,16,19,2,1,5,8,24,24,3,1,8,7,LA 23/24
2023-08-19,Miguel Ángel Ortiz Arias,Real Sociedad,Celta Vigo,12,12,9,7,12,13,0,3,5,10,32,20,2,6,11,17,LA 23/24
2023-08-19,José Sánchez,Almería,Real Madrid,10,13,4,5,17,14,1,4,13,10,10,19,8,9,20,25,LA 23/24
2023-08-19,José Luis Munuera,Osasuna,Athletic Club,9,14,5,3,13,22,2,0,7,11,28,13,7,2,18,8,LA 23/24
2023-08-20,Jorge Figueroa,Girona,Getafe,11,20,3,2,16,21,3,2,10,4,11,23,6,2,7,9,LA 23/24
2023-08-20,Alejandro Muñíz,Barcelona,Cádiz,9,22,10,2,11,11,1,1,7,12,14,13,10,1,24,10,LA 23/24
2023-08-20,Ricardo de Burgos,Betis,Atlético Madrid,10,8,2,7,12,21,3,2,5,9,19,11,0,1,14,5,LA 23/24
2023-08-21,Guillermo Cuadra,Alavés,Sevilla,14,13,4,4,17,14,0,1,10,10,22,29,7,2,14,12,LA 23/24
2023-08-21,Pablo González,Granada,Rayo Vallecano,14,11,5,6,18,18,1,7,7,10,24,28,7,9,14,17,LA 23/24
2023-08-25,Guillermo Cuadra,Las Palmas,Real Sociedad,7,29,5,7,17,12,3,4,6,6,17,15,5,1,11,8,LA 23/24
2023-08-25,Isidro Díaz de Mera,Celta Vigo,Real Madrid,19,14,3,5,15,8,0,3,10,12,17,12,4,2,13,9,LA 23/24
2023-08-26,Víctor García,Cádiz,Almería,16,22,7,3,11,12,0,1,2,9,15,15,3,2,11,5,LA 23/24
2023-08-26,Francisco Hernández,Granada,Mallorca,11,27,5,3,7,9,1,1,6,8,24,19,3,5,9,9,LA 23/24
