_date,day,comp,round,venue,result,team,opponent,start,pos,mins,goals,assists,pk,pkatt,shots,sot,crdy,crdr,touches,tackles,_int,blocks,xg,npxg,xag,sca,gca,cmp,att,cmp_pct,prgp,carries,prgc,player_name
2023-08-20,Sun,Bundesliga,Matchweek 1,Home,W 4–1,Union Berlin,Mainz 05,Y,CM,75,0,0,0,0,0,0,0,0,25,2,0,0,0.0,0.0,0.0,1,1,11,18,61.1,1,16,0,Brenden Aaronson
2023-08-26,Sat,Bundesliga,Matchweek 2,Away,W 4–1,Union Berlin,Darmstadt 98,Y,CM,20,0,0,0,0,0,0,2,1,5,0,0,1,0.0,0.0,0.0,0,0,2,4,50.0,1,2,0,Brenden Aaronson
2023-09-23,Sat,Bundesliga,Matchweek 5,Home,L 0–2,Union Berlin,Hoffenheim,Y,CM,45,0,0,0,0,1,0,0,0,22,4,0,2,0.0,0.0,0.0,1,0,13,15,86.7,2,12,0,Brenden Aaronson
2023-10-24,Tue,Champions Lg,Group stage,Home,L 0–1,de Union Berlin,it Napoli,Y,CM,69,0,0,0,0,1,0,0,0,17,0,1,0,0.1,0.1,0.0,0,0,9,10,90.0,1,8,0,Brenden Aaronson
2023-10-28,Sat,Bundesliga,Matchweek 9,Away,L 0–2,Union Berlin,Werder Bremen,Y,CM,59,0,0,0,0,0,0,0,0,22,0,0,3,0.0,0.0,0.0,1,0,10,13,76.9,2,14,0,Brenden Aaronson
2024-01-13,Sat,Bundesliga,Matchweek 17,Away,D 0–0,Union Berlin,Freiburg,Y,CM,68,0,0,0,0,1,1,1,0,29,1,0,1,0.1,0.1,0.0,0,0,16,20,80.0,1,21,1,Brenden Aaronson
2024-02-24,Sat,Bundesliga,Matchweek 23,Home,D 2–2,Union Berlin,Heidenheim,Y,FW,80,0,0,0,0,0,0,0,0,44,0,0,1,0.0,0.0,0.0,3,1,26,29,89.7,3,29,2,Brenden Aaronson
2024-03-16,Sat,Bundesliga,Matchweek 26,Home,W 2–1,Union Berlin,Werder Bremen,Y,AM,77,1,0,0,0,2,2,0,0,50,3,0,0,0.4,0.4,0.0,3,1,32,40,80.0,4,29,4,Brenden Aaronson
2024-03-30,Sat,Bundesliga,Matchweek 27,Away,D 0–0,Union Berlin,Eint Frankfurt,Y,AM,64,0,0,0,0,2,0,0,0,38,3,1,3,0.4,0.4,0.2,2,0,17,24,70.8,3,15,4,Brenden Aaronson
2024-04-06,Sat,Bundesliga,Matchweek 28,Home,L 0–1,Union Berlin,Leverkusen,Y,"FW,AM",78,0,0,0,0,0,0,0,0,31,2,0,1,0.0,0.0,0.0,2,0,17,22,77.3,1,20,1,Brenden Aaronson
2024-04-12,Fri,Bundesliga,Matchweek 29,Away,L 0–2,Union Berlin,Augsburg,Y,CM,90,0,0,0,0,2,0,0,0,62,3,0,2,0.1,0.1,0.1,7,0,36,44,81.8,7,37,3,Brenden Aaronson
2024-04-20,Sat,Bundesliga,Matchweek 30,Home,L 1–5,Union Berlin,Bayern Munich,Y,CM,90,0,0,0,0,2,0,0,0,51,4,0,0,0.1,0.1,0.1,5,0,29,38,76.3,6,34,3,Brenden Aaronson
2024-04-28,Sun,Bundesliga,Matchweek 31,Away,D 0–0,Union Berlin,M'Gladbach,Y,AM,73,0,0,0,0,2,2,0,0,47,0,0,2,0.0,0.0,0.0,5,0,27,34,79.4,6,24,0,Brenden Aaronson
2024-05-11,Sat,Bundesliga,Matchweek 33,Away,L 2–3,Union Berlin,Köln,Y,AM,53,0,0,0,0,0,0,0,0,25,1,0,0,0.0,0.0,0.0,0,0,10,18,55.6,2,19,3,Brenden Aaronson
2023-09-21,Thu,Conf Lg,Group stage,Home,W 2–1,de Eint Frankfurt,sct Aberdeen,Y,RW,45,0,0,0,0,0.0,0.0,1,0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,14.0,71.4,1.0,9.0,0.0,Paxten Aaronson
2023-12-03,Sun,Bundesliga,Matchweek 13,Away,L 1–2,Eint Frankfurt,Augsburg,Y,RM,45,0,0,0,0,2.0,2.0,0,0,26.0,1.0,0.0,1.0,0.1,0.1,0.0,0.0,0.0,15.0,17.0,88.2,0.0,17.0,0.0,Paxten Aaronson
2024-02-10,Sat,Eredivisie,Matchweek 21,Away,L 2–3,Vitesse,Heracles Almelo,Y,"RW,DM",90,0,0,0,0,2.0,1.0,0,0,37.0,6.0,1.0,2.0,0.1,0.1,0.0,1.0,1.0,20.0,23.0,87.0,2.0,15.0,0.0,Paxten Aaronson
2024-02-18,Sun,Eredivisie,Matchweek 22,Home,D 1–1,Vitesse,Volendam,Y,DM,90,0,0,0,0,5.0,0.0,0,0,43.0,2.0,1.0,1.0,0.6,0.6,0.0,3.0,0.0,23.0,33.0,69.7,7.0,31.0,4.0,Paxten Aaronson
2024-02-25,Sun,Eredivisie,Matchweek 23,Away,W 2–1,Vitesse,Excelsior,Y,RM,90,1,0,0,0,3.0,1.0,0,0,42.0,4.0,0.0,1.0,0.6,0.6,0.0,1.0,0.0,21.0,28.0,75.0,4.0,23.0,4.0,Paxten Aaronson
2024-03-02,Sat,Eredivisie,Matchweek 24,Home,L 1–2,Vitesse,Twente,Y,LM,90,0,0,0,0,0.0,0.0,0,0,41.0,2.0,0.0,3.0,0.0,0.0,0.1,2.0,0.0,26.0,31.0,83.9,0.0,20.0,1.0,Paxten Aaronson
2024-03-09,Sat,Eredivisie,Matchweek 25,Away,L 1–3,Vitesse,RKC Waalwijk,Y,RM,90,1,0,0,0,2.0,1.0,0,0,52.0,1.0,1.0,4.0,0.2,0.2,0.4,7.0,0.0,33.0,35.0,94.3,6.0,25.0,5.0,Paxten Aaronson
2024-03-16,Sat,Eredivisie,Matchweek 26,Home,D 1–1,Vitesse,Almere City,Y,RM,90,0,0,0,0,3.0,1.0,1,0,41.0,3.0,1.0,1.0,0.1,0.1,0.2,3.0,0.0,15.0,26.0,57.7,1.0,13.0,1.0,Paxten Aaronson
2024-03-30,Sat,Eredivisie,Matchweek 27,Away,L 0–2,Vitesse,AZ Alkmaar,Y,RM,90,0,0,0,0,3.0,0.0,0,0,47.0,1.0,1.0,1.0,0.1,0.1,0.1,2.0,0.0,29.0,36.0,80.6,7.0,23.0,5.0,Paxten Aaronson
2024-04-02,Tue,Eredivisie,Matchweek 28,Home,L 1–4,Vitesse,Sparta R'dam,Y,RM,90,0,0,0,0,3.0,3.0,1,0,59.0,2.0,0.0,2.0,0.3,0.3,0.4,9.0,0.0,41.0,48.0,85.4,5.0,32.0,4.0,Paxten Aaronson
2024-04-07,Sun,Eredivisie,Matchweek 29,Home,L 0–3,Vitesse,NEC Nijmegen,Y,RM,90,0,0,0,0,5.0,2.0,1,0,38.0,2.0,0.0,0.0,0.4,0.4,0.1,6.0,0.0,20.0,27.0,74.1,1.0,19.0,1.0,Paxten Aaronson
2024-04-13,Sat,Eredivisie,Matchweek 30,Away,L 0–6,Vitesse,PSV Eindhoven,Y,CM,90,0,0,0,0,1.0,0.0,0,0,41.0,7.0,0.0,0.0,0.1,0.1,0.0,1.0,0.0,25.0,29.0,86.2,1.0,14.0,0.0,Paxten Aaronson
2024-04-28,Sun,Eredivisie,Matchweek 31,Home,W 3–2,Vitesse,Fortuna Sittard,Y,RM,90,2,0,0,0,4.0,3.0,0,0,45.0,2.0,0.0,1.0,1.2,1.2,0.0,4.0,3.0,21.0,31.0,67.7,3.0,29.0,1.0,Paxten Aaronson
2024-05-05,Sun,Eredivisie,Matchweek 32,Away,L 0–1,Vitesse,Utrecht,Y,CM,90,0,0,0,0,4.0,2.0,0,0,54.0,3.0,1.0,2.0,0.9,0.9,0.2,4.0,0.0,31.0,38.0,81.6,3.0,29.0,5.0,Paxten Aaronson
