_date,day,comp,round,venue,result,team,opponent,start,pos,mins,goals,assists,pk,pkatt,shots,sot,crdy,crdr,touches,tackles,_int,blocks,xg,npxg,xag,sca,gca,cmp,att,cmp_pct,prgp,carries,prgc,player_name
2023-08-13,Sun,La Liga,Matchweek 1,Away,W 2–1,Betis,Villarreal,Y,LB,90,0,0,0,0,1,0,0,0,56.0,2.0,3,6.0,0.0,0.0,0.0,0.0,0.0,29.0,38.0,76.3,1.0,21.0,0.0,Abner
2023-08-20,Sun,La Liga,Matchweek 2,Home,D 0–0,Betis,Atlético Madrid,Y,LB,90,0,0,0,0,1,0,0,0,80.0,1.0,1,2.0,0.0,0.0,0.0,4.0,0.0,57.0,72.0,79.2,2.0,49.0,1.0,Abner
2023-08-27,Sun,La Liga,Matchweek 3,Away,L 2–4,Betis,Athletic Club,Y,LB,57,0,0,0,0,0,0,1,0,39.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,32.0,59.4,2.0,17.0,0.0,Abner
2023-09-21,Thu,Europa Lg,Group stage,Away,L 0–1,es Betis,sct Rangers,Y,LB,90,0,0,0,0,0,0,0,0,72.0,3.0,1,0.0,0.0,0.0,0.0,1.0,0.0,45.0,61.0,73.8,4.0,17.0,0.0,Abner
2023-09-28,Thu,La Liga,Matchweek 7,Away,D 1–1,Betis,Granada,Y,LB,90,0,0,0,0,0,0,0,0,65.0,0.0,1,1.0,0.0,0.0,0.0,1.0,0.0,46.0,56.0,82.1,1.0,40.0,1.0,Abner
2023-10-08,Sun,La Liga,Matchweek 9,Away,D 1–1,Betis,Alavés,Y,LB,90,0,0,0,0,0,0,1,0,46.0,1.0,1,2.0,0.0,0.0,0.1,1.0,0.0,26.0,35.0,74.3,2.0,19.0,1.0,Abner
2023-10-26,Thu,Europa Lg,Group stage,Away,W 1–0,es Betis,cy Aris Limassol FC,Y,LB,90,0,0,0,0,1,1,0,0,52.0,3.0,2,1.0,0.1,0.1,0.1,3.0,0.0,38.0,44.0,86.4,7.0,32.0,1.0,Abner
2023-11-09,Thu,Europa Lg,Group stage,Home,W 4–1,es Betis,cy Aris Limassol FC,Y,LB,90,0,1,0,0,0,0,0,0,59.0,2.0,0,1.0,0.0,0.0,0.5,2.0,1.0,41.0,52.0,78.8,6.0,22.0,3.0,Abner
2023-11-30,Thu,Europa Lg,Group stage,Away,L 0–1,es Betis,cz Sparta Prague,Y,LB,83,0,0,0,0,0,0,0,0,66.0,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,44.0,59.0,74.6,4.0,45.0,3.0,Abner
2023-12-03,Sun,La Liga,Matchweek 15,Away,D 0–0,Betis,Almería,Y,LB,90,0,0,0,0,0,0,0,0,65.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,37.0,53.0,69.8,1.0,25.0,0.0,Abner
2023-12-09,Sat,La Liga,Matchweek 16,Home,D 1–1,Betis,Real Madrid,Y,LB,90,0,0,0,0,1,0,0,0,60.0,3.0,2,3.0,0.0,0.0,0.0,1.0,0.0,36.0,45.0,80.0,1.0,34.0,2.0,Abner
2023-12-17,Sun,La Liga,Matchweek 17,Away,D 0–0,Betis,Real Sociedad,Y,LB,90,0,0,0,0,0,0,0,0,51.0,3.0,1,1.0,0.0,0.0,0.0,0.0,0.0,28.0,40.0,70.0,2.0,26.0,0.0,Abner
2024-01-03,Wed,La Liga,Matchweek 19,Away,L 1–2,Betis,Celta Vigo,Y,LB,90,0,0,0,0,0,0,0,0,78.0,2.0,0,2.0,0.0,0.0,0.0,0.0,0.0,53.0,70.0,75.7,3.0,40.0,1.0,Abner
2024-01-13,Sat,La Liga,Matchweek 20,Home,W 1–0,Betis,Granada,Y,LB,90,0,0,0,0,1,0,0,0,81.0,1.0,0,0.0,0.0,0.0,0.2,3.0,0.0,60.0,73.0,82.2,6.0,30.0,1.0,Abner
2024-01-21,Sun,La Liga,Matchweek 21,Home,L 2–4,Betis,Barcelona,Y,LB,90,0,0,0,0,0,0,1,0,54.0,2.0,0,1.0,0.0,0.0,0.0,0.0,0.0,31.0,42.0,73.8,2.0,21.0,2.0,Abner
2024-01-27,Sat,La Liga,Matchweek 22,Away,W 1–0,Betis,Mallorca,Y,LB,90,0,0,0,0,0,0,0,0,57.0,2.0,2,0.0,0.0,0.0,0.0,0.0,0.0,39.0,48.0,81.3,2.0,33.0,2.0,Abner
2024-02-04,Sun,La Liga,Matchweek 23,Home,D 1–1,Betis,Getafe,Y,LB,12,0,0,0,0,0,0,0,0,8.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,75.0,0.0,2.0,0.0,Abner
2024-03-31,Sun,La Liga,Matchweek 30,Away,L 2–3,Betis,Girona,Y,LB,76,0,0,0,0,0,0,0,0,44.0,3.0,2,1.0,0.0,0.0,0.0,0.0,0.0,24.0,37.0,64.9,1.0,22.0,0.0,Abner
2024-05-16,Thu,La Liga,Matchweek 36,Away,D 2–2,Betis,Las Palmas,Y,LB,90,0,1,0,0,0,0,0,0,56.0,1.0,0,1.0,0.0,0.0,0.4,0.0,0.0,35.0,48.0,72.9,2.0,16.0,0.0,Abner
2023-08-14,Mon,La Liga,Matchweek 1,Away,L 0–1,Alavés,Cádiz,Y,CB,90,0,0,0,0,0.0,0.0,0,0,39.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,24.0,33.0,72.7,2.0,22.0,0.0,Abdel Abqar
2023-08-21,Mon,La Liga,Matchweek 2,Home,W 4–3,Alavés,Sevilla,Y,CB,90,0,0,0,0,0.0,0.0,0,0,29.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,19.0,63.2,4.0,10.0,0.0,Abdel Abqar
2023-08-28,Mon,La Liga,Matchweek 3,Away,L 0–1,Alavés,Getafe,Y,CB,89,0,0,0,0,2.0,1.0,1,0,35.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,18.0,26.0,69.2,1.0,19.0,0.0,Abdel Abqar
2023-09-15,Fri,La Liga,Matchweek 5,Away,L 0–2,Alavés,Rayo Vallecano,Y,CB,90,0,0,0,0,0.0,0.0,0,0,46.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,18.0,29.0,62.1,2.0,15.0,0.0,Abdel Abqar
