_date,day,comp,round,venue,result,team,opponent,start,pos,mins,goals,assists,pk,pkatt,shots,sot,crdy,crdr,touches,tackles,_int,blocks,xg,npxg,xag,sca,gca,cmp,att,cmp_pct,prgp,carries,prgc,player_name
2023-08-12,Sat,Ligue 1,Matchweek 1,Away,L 1–2,Reims,Marseille,Y*,CB,90,0,0,0,0,0,0,0,0,72.0,4.0,1,0.0,0.0,0.0,0.0,0.0,0.0,58.0,63.0,92.1,6.0,50.0,1.0,Yunis Abdelhamid
2023-08-20,Sun,Ligue 1,Matchweek 2,Home,W 2–0,Reims,Clermont Foot,Y*,CB,90,0,0,0,0,0,0,0,0,74.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,54.0,62.0,87.1,3.0,46.0,1.0,Yunis Abdelhamid
2023-08-27,Sun,Ligue 1,Matchweek 3,Away,W 3–1,Reims,Montpellier,Y*,CB,90,1,0,0,0,2,1,0,0,65.0,2.0,3,5.0,0.2,0.2,0.0,0.0,0.0,34.0,46.0,73.9,2.0,38.0,1.0,Yunis Abdelhamid
2023-09-03,Sun,Ligue 1,Matchweek 4,Away,D 2–2,Reims,Metz,Y*,CB,90,0,0,0,0,1,0,0,0,107.0,4.0,0,1.0,0.0,0.0,0.0,1.0,0.0,82.0,95.0,86.3,15.0,81.0,4.0,Yunis Abdelhamid
2023-09-17,Sun,Ligue 1,Matchweek 5,Home,L 1–2,Reims,Brest,Y*,CB,90,0,0,0,0,0,0,0,0,65.0,2.0,0,2.0,0.0,0.0,0.1,0.0,0.0,40.0,49.0,81.6,5.0,45.0,2.0,Yunis Abdelhamid
2023-09-26,Tue,Ligue 1,Matchweek 6,Away,W 2–1,Reims,Lille,Y*,CB,90,0,0,0,0,0,0,0,0,40.0,0.0,1,3.0,0.0,0.0,0.0,0.0,0.0,24.0,33.0,72.7,0.0,27.0,0.0,Yunis Abdelhamid
2023-10-01,Sun,Ligue 1,Matchweek 7,Home,W 2–0,Reims,Lyon,Y*,CB,90,1,0,0,0,1,1,1,0,65.0,1.0,0,2.0,0.7,0.7,0.0,0.0,0.0,50.0,56.0,89.3,3.0,48.0,1.0,Yunis Abdelhamid
2023-10-07,Sat,Ligue 1,Matchweek 8,Home,L 1–3,Reims,Monaco,Y*,CB,90,0,0,0,0,0,0,0,0,61.0,1.0,1,2.0,0.0,0.0,0.0,0.0,0.0,44.0,54.0,81.5,4.0,44.0,1.0,Yunis Abdelhamid
2023-10-22,Sun,Ligue 1,Matchweek 9,Away,D 1–1,Reims,Toulouse,Y*,CB,90,0,0,0,0,2,0,0,0,88.0,4.0,1,1.0,0.3,0.3,0.1,3.0,0.0,58.0,76.0,76.3,2.0,57.0,1.0,Yunis Abdelhamid
2023-10-28,Sat,Ligue 1,Matchweek 10,Home,W 1–0,Reims,Lorient,Y*,CB,90,0,0,0,0,0,0,0,0,84.0,0.0,1,2.0,0.0,0.0,0.0,1.0,0.0,70.0,76.0,92.1,9.0,70.0,1.0,Yunis Abdelhamid
2023-11-05,Sun,Ligue 1,Matchweek 11,Away,W 1–0,Reims,Nantes,Y*,CB,90,0,0,0,0,2,1,0,0,80.0,2.0,1,3.0,0.2,0.2,0.0,0.0,0.0,51.0,66.0,77.3,4.0,60.0,0.0,Yunis Abdelhamid
2023-11-11,Sat,Ligue 1,Matchweek 12,Home,L 0–3,Reims,Paris S-G,Y*,CB,90,0,0,0,0,0,0,1,0,46.0,4.0,1,1.0,0.0,0.0,0.0,1.0,0.0,31.0,38.0,81.6,4.0,27.0,1.0,Yunis Abdelhamid
2023-11-26,Sun,Ligue 1,Matchweek 13,Away,L 1–3,Reims,Rennes,Y*,CB,90,0,0,0,0,3,2,0,0,81.0,0.0,1,1.0,0.2,0.2,0.0,1.0,0.0,55.0,70.0,78.6,4.0,57.0,2.0,Yunis Abdelhamid
2023-12-01,Fri,Ligue 1,Matchweek 14,Home,W 2–1,Reims,Strasbourg,Y*,CB,90,0,0,0,0,1,0,0,0,92.0,5.0,4,1.0,0.0,0.0,0.0,2.0,0.0,62.0,76.0,81.6,7.0,60.0,4.0,Yunis Abdelhamid
2023-12-10,Sun,Ligue 1,Matchweek 15,Away,L 1–2,Reims,Nice,Y*,CB,90,1,0,0,0,2,2,1,0,60.0,4.0,1,1.0,0.6,0.6,0.0,1.0,0.0,35.0,46.0,76.1,2.0,33.0,1.0,Yunis Abdelhamid
