_date,referee,home,away,fouls_home,fouls_away,corners_home,corners_away,tackles_home,tackles_away,offsides_home,offsides_away,goal_kicks_home,goal_kicks_away,throw_ins_home,throw_ins_away,shots_home,shots_away,sot_home,sot_away,league_season
2022-08-13,Federico Dionisi,Sampdoria,Atalanta,13,21,3,2,18,19,1,2,7,10,23,18,11,9,1,3,SA 22/23
2022-08-13,Livio Marinelli,Milan,Udinese,16,13,5,1,23,13,0,1,7,11,21,14,13,9,4,4,SA 22/23
2022-08-13,Maurizio Mariani,Monza,Torino,6,17,2,7,13,14,1,5,4,10,16,14,15,13,4,6,SA 22/23
2022-08-13,Alessandro Prontera,Lecce,Inter,21,19,6,8,9,11,2,3,7,6,11,22,10,19,4,9,SA 22/23
2022-08-14,Juan Sacchi,Fiorentina,Cremonese,10,19,11,4,12,24,1,1,3,9,15,10,28,13,11,4,SA 22/23
2022-08-14,Luca Massimi,Lazio,Bologna,11,18,3,2,15,13,3,2,5,5,21,18,9,10,6,2,SA 22/23
2022-08-14,Daniele Chiffi,Spezia,Empoli,15,8,6,4,23,14,3,1,8,7,18,32,9,18,2,5,SA 22/23
2022-08-14,Simone Sozza,Salernitana,Roma,18,9,4,2,16,17,1,3,11,8,13,19,13,20,2,4,SA 22/23
2022-08-15,Michael Fabbri,Hellas Verona,Napoli,15,6,4,8,19,11,1,2,14,5,11,17,6,25,3,8,SA 22/23
2022-08-15,Antonio Rapuano,Juventus,Sassuolo,7,5,3,2,10,9,4,2,8,13,14,21,13,19,3,7,SA 22/23
2022-08-20,Marco Piccinini,Torino,Lazio,11,12,6,4,7,17,4,0,4,14,19,12,10,7,1,2,SA 22/23
2022-08-20,Gianluca Aureliano,Udinese,Salernitana,9,12,6,6,18,15,0,1,10,9,32,21,15,17,2,6,SA 22/23
2022-08-20,Davide Ghersini,Inter,Spezia,11,7,10,4,17,14,5,1,7,10,18,27,19,2,8,0,SA 22/23
2022-08-20,Andrea Colombo,Sassuolo,Lecce,14,12,5,4,4,18,0,4,11,7,30,17,12,7,3,1,SA 22/23
2022-08-21,Matteo Marchetti,Empoli,Fiorentina,13,11,1,9,14,15,1,1,13,3,13,22,4,19,2,2,SA 22/23
2022-08-21,Francesco Fourneau,Napoli,Monza,11,13,10,4,12,17,1,0,4,9,13,17,22,4,5,1,SA 22/23
2022-08-21,Matteo Marcenaro,Bologna,Hellas Verona,10,14,9,8,12,13,1,5,9,11,22,16,17,19,5,3,SA 22/23
2022-08-21,Fabio Maresca,Atalanta,Milan,15,6,4,6,14,10,0,3,13,11,15,23,11,18,2,7,SA 22/23
2022-08-22,Luca Massimi,Roma,Cremonese,7,14,5,6,16,19,1,1,14,6,18,16,27,14,11,3,SA 22/23
2022-08-22,Rosario Abisso,Sampdoria,Juventus,8,14,3,4,5,18,1,3,9,9,24,13,9,10,1,4,SA 22/23
2022-08-26,Marco Di Bello,Monza,Udinese,16,10,3,5,12,22,4,4,9,7,19,19,10,15,5,4,SA 22/23
2022-08-26,Michael Fabbri,Lazio,Inter,5,12,2,4,17,15,0,0,9,5,9,13,11,19,7,7,SA 22/23
2022-08-27,Massimiliano Irrati,Juventus,Roma,16,7,4,5,18,12,0,1,4,9,23,20,14,8,3,4,SA 22/23
2022-08-27,Paolo Valeri,Cremonese,Torino,9,21,3,3,21,11,1,0,6,10,21,23,16,14,6,5,SA 22/23
2022-08-27,Gianluca Manganiello,Milan,Bologna,13,9,5,1,21,21,2,2,8,9,18,16,19,8,7,0,SA 22/23
2022-08-27,Francesco Cosso,Spezia,Sassuolo,17,10,2,6,14,15,3,1,13,5,20,25,6,21,1,8,SA 22/23
2022-08-28,Davide Massa,Salernitana,Sampdoria,19,14,6,3,13,23,1,4,8,4,10,17,9,17,6,6,SA 22/23
2022-08-28,Alessandro Prontera,Hellas Verona,Atalanta,15,7,7,6,17,15,2,0,9,16,19,23,14,15,2,7,SA 22/23
2022-08-28,Alberto Santoro,Lecce,Empoli,10,5,3,5,15,11,4,1,6,11,25,27,15,9,5,3,SA 22/23
2022-08-28,Livio Marinelli,Fiorentina,Napoli,12,14,2,3,24,20,1,2,5,6,11,24,10,13,5,2,SA 22/23
2022-08-30,Giovanni Ayroldi,Sassuolo,Milan,14,13,3,8,9,10,3,1,8,7,20,29,7,11,2,2,SA 22/23
2022-08-30,Francesco Fourneau,Inter,Cremonese,6,14,6,6,10,16,2,2,10,12,20,22,18,11,7,4,SA 22/23
2022-08-30,Marco Piccinini,Roma,Monza,10,7,5,4,19,11,2,1,14,4,16,13,15,13,8,1,SA 22/23
2022-08-31,Gianluca Aureliano,Sampdoria,Lazio,11,10,5,7,6,9,2,2,5,5,13,11,10,13,3,6,SA 22/23
2022-08-31,Maurizio Mariani,Udinese,Fiorentina,13,10,3,7,21,10,5,0,8,6,16,29,8,12,3,2,SA 22/23
2022-08-31,Marco Serra,Empoli,Hellas Verona,5,22,7,10,18,24,2,1,6,7,27,22,16,9,4,3,SA 22/23
2022-08-31,Andrea Colombo,Juventus,Spezia,11,10,7,3,22,21,1,2,5,9,23,31,15,9,3,0,SA 22/23
2022-08-31,Matteo Marcenaro,Napoli,Lecce,7,20,6,4,20,26,4,3,6,13,32,17,19,8,7,3,SA 22/23
2022-09-01,Marco Di Bello,Atalanta,Torino,14,13,7,2,13,17,5,3,10,3,16,19,10,8,3,2,SA 22/23
2022-09-01,Davide Ghersini,Bologna,Salernitana,10,11,1,8,15,13,1,0,12,8,24,20,10,20,3,4,SA 22/23
2022-09-03,Daniele Doveri,Fiorentina,Juventus,13,12,10,2,17,11,0,1,2,12,16,12,16,4,4,1,SA 22/23
2022-09-03,Daniele Chiffi,Milan,Inter,10,12,2,5,11,8,2,2,3,12,10,24,21,16,5,5,SA 22/23
2022-09-03,Simone Sozza,Lazio,Napoli,12,14,6,8,14,17,0,1,7,9,13,19,8,19,2,7,SA 22/23
2022-09-04,Luca Pairetto,Cremonese,Sassuolo,16,6,2,3,18,13,3,2,9,11,17,28,10,17,0,7,SA 22/23
2022-09-04,Antonio Giua,Spezia,Bologna,12,5,7,2,11,21,0,5,12,10,25,26,15,13,5,6,SA 22/23
2022-09-04,Paolo Valeri,Hellas Verona,Sampdoria,16,11,7,2,20,16,4,2,9,10,17,29,17,11,9,3,SA 22/23
2022-09-04,Fabio Maresca,Udinese,Roma,16,13,3,7,18,8,0,2,9,7,10,21,11,12,5,2,SA 22/23
2022-09-05,Rosario Abisso,Salernitana,Empoli,7,9,6,7,21,19,4,1,7,6,17,25,15,11,4,5,SA 22/23
2022-09-05,Juan Sacchi,Monza,Atalanta,9,10,4,9,16,14,0,1,5,10,18,25,10,13,3,6,SA 22/23
2022-09-05,Manuel Volpi,Torino,Lecce,16,8,4,4,14,27,2,2,4,10,22,21,13,9,4,2,SA 22/23
2022-09-10,Alberto Santoro,Napoli,Spezia,6,14,10,5,13,15,5,1,3,14,20,13,28,10,6,1,SA 22/23
2022-09-10,Giovanni Ayroldi,Inter,Torino,8,17,6,5,17,13,1,1,5,15,16,17,16,9,3,7,SA 22/23
2022-09-10,Michael Fabbri,Sampdoria,Milan,12,10,2,4,14,19,0,2,7,4,18,12,10,14,4,3,SA 22/23
2022-09-11,Andrea Colombo,Atalanta,Cremonese,9,17,3,3,13,25,2,0,5,7,24,20,14,7,6,4,SA 22/23
2022-09-11,Daniele Orsato,Bologna,Fiorentina,8,13,6,8,20,14,3,0,7,6,17,27,12,13,4,2,SA 22/23
2022-09-11,Luca Pairetto,Lecce,Monza,18,22,8,5,14,15,1,0,4,10,20,19,7,2,3,1,SA 22/23
2022-09-11,Giacomo Camplone,Sassuolo,Udinese,7,16,5,6,17,12,0,5,18,4,21,12,5,17,2,4,SA 22/23
2022-09-11,Massimiliano Irrati,Lazio,Hellas Verona,5,23,3,5,10,15,3,3,12,8,19,19,15,7,6,1,SA 22/23
2022-09-11,Matteo Marcenaro,Juventus,Salernitana,13,15,8,2,9,14,6,2,5,16,11,18,22,10,6,4,SA 22/23
2022-09-12,Livio Marinelli,Empoli,Roma,13,12,7,7,23,27,0,0,6,9,28,33,20,12,3,6,SA 22/23
2022-09-16,Daniele Doveri,Salernitana,Lecce,9,11,4,5,11,16,6,0,8,6,29,18,8,13,4,4,SA 22/23
2022-09-17,Manuel Volpi,Bologna,Empoli,11,16,5,8,14,18,4,0,6,10,32,19,16,12,3,5,SA 22/23
2022-09-17,Simone Sozza,Spezia,Sampdoria,17,14,3,6,32,15,4,1,4,6,30,33,6,11,3,8,SA 22/23
2022-09-17,Niccolò Baroni,Torino,Sassuolo,13,7,4,3,15,15,3,0,4,9,16,23,12,10,3,5,SA 22/23
2022-09-18,Paolo Valeri,Udinese,Inter,11,13,7,4,21,16,1,2,10,7,24,19,20,16,6,4,SA 22/23
2022-09-18,Daniele Orsato,Cremonese,Lazio,12,9,8,5,10,16,3,0,10,15,26,14,18,13,3,5,SA 22/23
2022-09-18,Fabio Maresca,Monza,Juventus,16,17,5,3,11,8,6,0,8,13,19,20,17,10,4,2,SA 22/23
