_date,referee,home,away,fouls_home,fouls_away,corners_home,corners_away,tackles_home,tackles_away,offsides_home,offsides_away,goal_kicks_home,goal_kicks_away,trow_ins_home,trow_ins_away,sot_home,sot_away,shots_home,shots_away,league_season
2023-08-19,Matteo Marcenaro,Frosinone,Napoli,14,17,4,6,6,20,3,3,7,3,15,11,0,8,3,19,SA 23/24
2023-08-19,Luca Massimi,Empoli,Hellas Verona,17,18,2,4,12,20,2,3,7,8,37,24,4,4,10,10,SA 23/24
2023-08-19,Andrea Colombo,Inter,Monza,8,13,8,3,17,13,1,1,8,17,9,15,3,2,22,12,SA 23/24
2023-08-19,Giovanni Ayroldi,Genoa,Fiorentina,14,13,3,4,14,11,2,1,5,4,20,22,2,5,4,9,SA 23/24
2023-08-20,Matteo Marchetti,Sassuolo,Atalanta,9,13,7,7,10,13,0,2,16,2,12,17,3,4,11,16,SA 23/24
2023-08-20,Ermanno Feliciani,Roma,Salernitana,12,9,9,1,15,9,1,1,3,13,28,17,3,2,13,3,SA 23/24
2023-08-20,Federico Dionisi,Lecce,Lazio,12,16,5,2,8,21,2,1,9,9,19,12,7,4,23,10,SA 23/24
2023-08-20,Antonio Rapuano,Udinese,Juventus,12,10,7,3,11,21,3,4,6,14,17,9,5,3,18,8,SA 23/24
2023-08-21,Francesco Cosso,Torino,Cagliari,8,12,8,3,10,18,1,2,11,10,22,17,2,2,11,8,SA 23/24
2023-08-21,Luca Pairetto,Bologna,Milan,10,4,3,6,21,13,2,2,4,11,13,13,5,5,17,9,SA 23/24
2023-08-26,Juan Sacchi,Frosinone,Atalanta,10,10,3,7,13,16,1,1,10,8,21,28,5,6,13,18,SA 23/24
2023-08-26,Gianluca Aureliano,Monza,Empoli,14,7,6,5,25,15,2,1,12,12,27,19,5,6,20,18,SA 23/24
2023-08-26,Daniele Doveri,Hellas Verona,Roma,17,12,1,12,12,16,0,3,14,6,15,21,3,7,5,23,SA 23/24
2023-08-26,Maurizio Mariani,Milan,Torino,13,16,2,1,10,12,1,2,7,7,11,10,5,1,15,8,SA 23/24
2023-08-27,Marco Di Bello,Juventus,Bologna,15,13,6,2,13,18,4,0,8,7,25,17,3,4,14,10,SA 23/24
2023-08-27,Maria Sole Ferrieri Caputi,Fiorentina,Lecce,16,15,3,3,23,20,2,1,1,11,24,21,4,2,10,6,SA 23/24
2023-08-27,Antonio Giua,Napoli,Sassuolo,9,10,12,4,18,17,4,0,4,15,15,6,4,1,23,6,SA 23/24
2023-08-27,Livio Marinelli,Lazio,Genoa,9,16,15,1,10,18,0,0,2,13,29,13,2,3,16,5,SA 23/24
2023-08-28,Davide Massa,Salernitana,Udinese,12,19,7,5,9,12,1,1,12,9,13,12,4,6,9,14,SA 23/24
2023-08-28,Michael Fabbri,Cagliari,Inter,9,10,4,7,12,25,1,2,9,10,14,15,2,3,12,17,SA 23/24
2023-09-01,Marco Piccinini,Sassuolo,Hellas Verona,8,13,10,1,11,15,1,4,12,6,25,12,6,3,15,11,SA 23/24
2023-09-01,Antonio Rapuano,Roma,Milan,14,15,3,5,12,6,1,1,5,12,17,6,2,3,13,8,SA 23/24
2023-09-02,Daniele Orsato,Bologna,Cagliari,9,13,5,2,17,11,1,1,11,9,23,17,7,1,15,7,SA 23/24
2023-09-02,Marco Guida,Udinese,Frosinone,14,9,3,5,16,24,0,2,15,8,26,20,6,1,12,12,SA 23/24
2023-09-02,Andrea Colombo,Napoli,Lazio,8,9,7,2,13,11,4,3,3,12,22,8,4,2,22,6,SA 23/24
2023-09-02,Matteo Marcenaro,Atalanta,Monza,11,9,7,3,14,20,4,1,8,6,14,22,8,2,18,8,SA 23/24
2023-09-03,Daniele Chiffi,Torino,Genoa,13,7,4,0,7,16,5,2,11,9,18,10,3,2,10,7,SA 23/24
2023-09-03,Matteo Marchetti,Inter,Fiorentina,13,12,1,1,19,3,0,1,3,7,13,22,10,2,20,6,SA 23/24
2023-09-03,Luca Massimi,Lecce,Salernitana,17,15,6,5,24,18,0,1,8,6,33,28,5,4,19,11,SA 23/24
2023-09-03,Giovanni Ayroldi,Empoli,Juventus,14,13,3,7,8,17,2,1,8,8,17,13,0,4,7,17,SA 23/24
2023-09-16,Fabio Maresca,Juventus,Lazio,13,13,7,9,14,9,1,0,11,11,11,10,7,5,17,16,SA 23/24
2023-09-16,Simone Sozza,Inter,Milan,16,13,5,0,12,8,2,2,9,5,16,14,6,2,13,9,SA 23/24
2023-09-16,Michael Fabbri,Genoa,Napoli,14,8,3,1,15,19,1,3,11,3,16,22,3,4,8,12,SA 23/24
2023-09-17,Daniele Doveri,Cagliari,Udinese,12,11,4,6,13,17,3,1,13,11,29,11,1,1,10,11,SA 23/24
2023-09-17,Livio Marinelli,Monza,Lecce,17,11,10,1,19,14,1,0,3,18,26,8,5,2,25,3,SA 23/24
2023-09-17,Alessandro Prontera,Frosinone,Sassuolo,10,9,5,6,10,14,5,2,8,10,22,20,5,7,15,18,SA 23/24
2023-09-17,Luca Pairetto,Fiorentina,Atalanta,8,14,3,4,19,27,0,2,5,6,28,26,8,4,15,11,SA 23/24
2023-09-17,Juan Sacchi,Roma,Empoli,15,5,2,6,25,19,2,2,5,2,17,13,8,2,13,8,SA 23/24
2023-09-18,Antonio Giua,Salernitana,Torino,12,16,1,2,14,11,2,2,4,7,24,12,4,3,14,11,SA 23/24
2023-09-18,Federico La Penna,Hellas Verona,Bologna,18,10,3,4,15,8,5,1,7,4,17,18,1,4,9,11,SA 23/24
2023-09-22,Marco Piccinini,Salernitana,Frosinone,12,12,8,6,11,20,4,3,6,11,22,20,6,3,19,9,SA 23/24
2023-09-22,Antonio Rapuano,Lecce,Genoa,12,10,4,3,11,32,1,0,5,13,25,26,3,1,18,8,SA 23/24
2023-09-23,Fabio Maresca,Milan,Hellas Verona,12,11,2,3,17,23,1,1,7,8,19,20,4,2,9,10,SA 23/24
2023-09-23,Andrea Colombo,Sassuolo,Juventus,13,8,6,3,17,16,0,2,15,9,26,22,7,2,18,15,SA 23/24
2023-09-23,Rosario Abisso,Lazio,Monza,13,7,1,3,13,17,3,2,8,9,24,17,0,4,7,16,SA 23/24
2023-09-24,Matteo Marcenaro,Empoli,Inter,15,11,3,6,14,14,0,1,13,4,17,33,1,5,7,23,SA 23/24
2023-09-24,Ermanno Feliciani,Atalanta,Cagliari,6,11,7,7,15,13,5,1,10,6,22,26,6,0,10,10,SA 23/24
2023-09-24,Daniele Chiffi,Udinese,Fiorentina,13,11,10,3,22,18,1,1,4,8,24,26,8,2,20,6,SA 23/24
2023-09-24,Giovanni Ayroldi,Bologna,Napoli,16,12,5,5,20,21,2,2,11,3,22,21,2,4,4,11,SA 23/24
2023-09-24,Marco Guida,Torino,Roma,5,5,7,1,15,15,0,0,7,13,15,32,4,3,12,11,SA 23/24
2023-09-26,Antonio Giua,Juventus,Lecce,14,15,5,1,16,11,0,1,6,8,19,23,5,0,15,2,SA 23/24
2023-09-27,Federico Dionisi,Hellas Verona,Atalanta,10,25,4,1,14,15,1,3,7,9,26,25,2,2,11,8,SA 23/24
2023-09-27,Antonio Rapuano,Empoli,Salernitana,18,13,10,2,15,25,5,1,7,7,35,25,6,2,13,14,SA 23/24
2023-09-27,Federico La Penna,Cagliari,Milan,13,6,3,5,12,12,0,1,11,4,16,11,6,6,16,17,SA 23/24
2023-09-27,Gianluca Manganiello,Napoli,Udinese,11,10,8,4,21,11,0,0,7,10,22,12,9,3,22,13,SA 23/24
2023-09-27,Michael Fabbri,Lazio,Torino,12,13,4,2,17,11,0,1,9,7,17,11,3,2,6,7,SA 23/24
2023-09-27,Luca Massimi,Inter,Sassuolo,10,8,8,6,15,8,3,4,6,8,29,10,3,6,13,13,SA 23/24
